bracket_content,normalized_content,match_index_in_title,keyword,platform,pid,name,price,status,link
LG,LG,1,아이폰 17,번개장터,355956669,[LG]아이폰17에어(새상품/전색상/정품),648900,판매중,https://m.bunjang.co.kr/products/355956669
LG,LG,1,아이폰 17,번개장터,355954260,[LG]아이폰17(새상품/전색상/정품),550000,판매중,https://m.bunjang.co.kr/products/355954260
새상품,새상품,1,아이폰 17,번개장터,390085947,[ 새상품 ] 아이폰 17 폰케이스,5000,판매중,https://m.bunjang.co.kr/products/390085947
당일발송/할인상품,당일발송/할인상품,1,아이폰 17,번개장터,400875144,[당일발송/할인상품]아이폰7 32GB 실버 381735,143000,판매중,https://m.bunjang.co.kr/products/400875144
배터리100%,배터리100%,1,아이폰 17,번개장터,406391838,[배터리100%] 아이폰13 128기가 부산중고폰 01770김해 춘천,385000,판매중,https://m.bunjang.co.kr/products/406391838
미개봉,미개봉,1,아이폰 17,번개장터,364068679,[미개봉] 미쁜이 러브도트 vol.1 화이트 아이폰17,18080,판매중,https://m.bunjang.co.kr/products/364068679
미사용/특가,미사용/특가,1,아이폰 17,번개장터,398688177,[미사용/특가] 아이폰17 번개장터 안전거래 가능,500,판매중,https://m.bunjang.co.kr/products/398688177
381917,381917,1,아이폰 17,번개장터,406315127,[381917] 아이폰6S 로즈골드 64기가 가성비 공기계,115000,판매중,https://m.bunjang.co.kr/products/406315127
179519,179519,1,아이폰 17,번개장터,406311706,[179519] 아이폰XS MAX 64기가 그레이 공기계,275000,판매중,https://m.bunjang.co.kr/products/406311706
558017,558017,1,아이폰 17,번개장터,406306392,[558017] 아이폰7 32기가 블랙 공기계 판매 100%,135000,판매중,https://m.bunjang.co.kr/products/406306392
341770,341770,1,아이폰 17,번개장터,406305905,[341770] 아이폰7플러스 32기가 93% 블랙 공기계,140000,판매중,https://m.bunjang.co.kr/products/406305905
171591,171591,1,아이폰 17,번개장터,406302831,[171591] 아이폰7플러스 128기가 매트블랙 공기계 카메라,165000,판매중,https://m.bunjang.co.kr/products/406302831
641711,641711,1,아이폰 17,번개장터,406302415,[641711] 최고등급 아이폰7플러스 128기가 로즈골드 공기계,175000,판매중,https://m.bunjang.co.kr/products/406302415
969178,969178,1,아이폰 17,번개장터,406302020,[969178] 아이폰6S 64기가 로즈골드 공기계 판매,135000,판매중,https://m.bunjang.co.kr/products/406302020
821770,821770,1,아이폰 17,번개장터,406298766,[821770] 아이폰6S 64기가 그레이 공기계 100%,135000,판매중,https://m.bunjang.co.kr/products/406298766
인터넷보다 싼,인터넷보다 싼,1,아이폰 17,번개장터,396570281,"[인터넷보다 싼] 아이폰 17 케이스, 벨킨 디즈니 스티치",29000,판매중,https://m.bunjang.co.kr/products/396570281
74978,74978,1,아이폰 17,번개장터,402208078,@배터리99@ 아이폰 17 256GB 퍼플 [74978],1100000,판매중,https://m.bunjang.co.kr/products/402208078
